"Cidade","População"
"Balsas","94887"
"Cândido Mendes","20178"
"Cantanhede","21995"
"Colinas","41178"
"Cururupu","32695"
"Estreito","41946"
"Icatu","27113"
"Junco do Maranhão","3432"
"Lago dos Rodrigues","8873"
"Maracaçumé","21395"
"Milagres do Maranhão","8464"
"Montes Altos","9160"
"Olinda Nova do Maranhão","14701"
"Paço do Lumiar","122197"
"Paulo Ramos","21040"
"Peritoró","23196"
"Pindaré-Mirim","32941"
"Porto Franco","23885"
"Presidente Médici","7015"
"Timon","169107"
"Vargem Grande","56510"
"Altos","40524"
"Barras","47066"
"Batalha","45089"
"Canto do Buriti","21187"
"Cocal dos Alves","6153"
"Fartura do Piauí","5307"
"Ilha Grande","9426"
"Luzilândia","25486"
"Rio Grande do Piauí","6432"
"São Francisco do Piauí","6423"
"São Pedro do Piauí","14291"
"Acaraú","62641"
"Alcântaras","11714"
"Aquiraz","80271"
"Barro","22680"
"Barroquinha","15017"
"Chorozinho","20264"
"Fortaleza","2669342"
"Graça","14399"
"Lavras da Mangabeira","31508"
"Mulungu","20725"
"Parambu","31521"
"Pedra Branca","43258"
"Pentecoste","37751"
"Pereiro","16307"
"Potiretama","6419"
"Quixeramobim","81082"
"Redenção","29053"
"São Gonçalo do Amarante","150822"
"Várzea Alegre","40721"
"Arês","14306"
"Barcelona","3998"
"Caicó","67952"
"Campo Redondo","11217"
"Cerro Corá","11179"
"Felipe Guerra","5985"
"Itajá","7548"
"Santa Maria","5551"
"Pedra Grande","3237"
"Pilões","10473"
"Portalegre","7867"
"Tibau","4106"
"São Vicente","6424"
"Serra do Mel","11938"
"Serra Negra do Norte","8078"
"Alhandra","19588"
"Araçagi","16987"
"Igaracy","6117"
"Brejo do Cruz","14122"
"Cabedelo","67736"
"Caiçara","7201"
"Casserengue","7468"
"Catingueira","4932"
"Lagoa Seca","27503"
"Malta","5759"
"Monteiro","33222"
"Pitimbu","19065"
"Riachão do Bacamarte","4521"
"Riachão do Poço","4509"
"Rio Tinto","24176"
"Joca Claudino","2636"
"Taperoá","36450"
"Água Preta","36771"
"Bodocó","38146"
"Carnaíba","19551"
"Cortês","12578"
"Itaíba","26349"
"Ilha de Itamaracá","26258"
"Itapetim","13616"
"Lagoa dos Gatos","16290"
"Olinda","392482"
"Pombos","27091"
"Rio Formoso","23535"
"Santa Maria do Cambucá","14137"
"São Bento do Una","59504"
"São Joaquim do Monte","21356"
"São José do Egito","33951"
"São Lourenço da Mata","113230"
"Surubim","65089"
"Taquaritinga do Norte","28775"
"Cacimbinhas","10858"
"Jaramataia","5770"
"Palestina","5011"
"Palmeira dos Índios","73218"
"Paulo Jacinto","7564"
"Barra dos Coqueiros","30407"
"Divina Pastora","5138"
"Maruim","17213"
"Poço Verde","23728"
"Porto da Folha","28596"
"Santa Luzia do Itanhy","14035"
"São Cristóvão","90072"
"Umbaúba","25294"
"Belmonte","23328"
"Brumado","67195"
