"Cidade","População"
"Guajará-Mirim","46174"
"Machadinho D'Oeste","39991"
"Alto Paraíso","21428"
"Candeias do Jamari","26693"
"Senador Guiomard","23024"
"Boca do Acre","34308"
"Borba","41161"
"Canutama","15629"
"Jutaí","14317"
"Tefé","59849"
"Tonantins","18755"
"Mucajaí","17853"
"São João da Baliza","8201"
"Afuá","39218"
"Água Azul do Norte","27430"
"Belterra","17732"
"Bom Jesus do Tocantins","16981"
"Brasil Novo","15086"
"Breves","102701"
"Canaã dos Carajás","37085"
"Capanema","69027"
"Juruti","57943"
"Marapanim","28336"
"Mocajuba","31136"
"Ourém","17842"
"Peixe-Boi","8077"
"Portel","62043"
"Porto de Moz","41135"
"Quatipuru","13608"
"Redenção","84787"
"Salinópolis","40675"
"Santarém Novo","6709"
"Ulianópolis","59210"
"Pedra Branca do Amapari","16502"
"Itaubal","5503"
"Araguatins","35761"
"Augustinópolis","18412"
"Porto Nacional","53010"
"Sítio Novo do Tocantins","9029"
"Ji-Paraná","128969"
"Alto Alegre dos Parecis","13241"
"Bujari","10266"
"Porto Acre","18504"
"Amaturá","11536"
"Anori","21010"
"Beruri","19679"
"Itapiranga","9148"
"Juruá","14712"
"Novo Airão","19454"
"Silves","9171"
"Bonfim","12409"
"Bagre","30673"
"Cachoeira do Piriá","33900"
"Castanhal","200793"
"Goianésia do Pará","40475"
"Moju","82094"
"Nova Timboteua","15363"
"Pau d'Arco","5483"
"São Domingos do Araguaia","25557"
"São Félix do Xingu","128481"
"São Miguel do Guamá","58986"
"São Sebastião da Boa Vista","26640"
"Tracuateua","30959"
"Araguaína","180470"
"Bandeirantes do Tocantins","3553"
"Darcinópolis","6097"
"Formoso do Araguaia","18440"
"Goiatins","13019"
"Wanderlândia","11683"
"Buritis","39654"
"Assis Brasil","7417"
"Eirunepé","35273"
"Fonte Boa","17609"
"Manaus",
"Nhamundá","21173"
"Nova Olinda do Norte",
"Tapauá","17156"
"Alenquer","56789"
"Ananindeua","530598"
"Anapu","27890"
"Benevides","62737"
"Cametá","137890"
"Capitão Poço","54303"
"Curuá","14393"
"Irituia","32550"
"Marituba","131521"
"Melgaço","27654"
"Monte Alegre","58032"
"Muaná","40349"
"Salvaterra","23752"
"Santa Luzia do Pará","19848"
"Terra Santa","18769"
"Tomé-Açu","63447"
"Porto Grande","21971"
"Dianópolis","22139"
"Guaraí","25923"
"Sampaio","4711"
"Tocantinópolis","22870"
"Porto Velho","529544"
"Urupá","11467"
"Vale do Anari","11204"
"Brasiléia","26278"
"Feijó","34780"
"Tarauacá","42567"
"Anamã","13614"
"Benjamin Constant","42984"
"Japurá","2755"
"Novo Aripuanã","25644"
"Santa Isabel do Rio Negro",
"São Sebastião do Uatumã","14020"
"Urucará","16256"
"Amajari","12796"
"Alto Alegre","15510"
"Boa Vista","399213"
"Bannach","3286"
"Cachoeira do Arari","23767"
"Colares","12085"
"Inhangapi","11711"
"Itupiranga","53269"
"Jacareacanga","8239"
"Maracanã","29473"
"Nova Esperança do Piriá","21368"
"Nova Ipixuna","16678"
"Ourilândia do Norte","32832"
"Santa Bárbara do Pará","21079"
"Santa Maria do Pará","24861"
"São Caetano de Odivelas","18050"
"São João da Ponta","6139"
"São João do Araguaia","13996"
"Terra Alta","11720"
"Ananás","9549"
"Cristalândia","7289"
"Fátima","3835"
"Figueirópolis","5263"
"Fortaleza do Tabocão","2589"
"Miracema do Tocantins","18248"
"Novo Acordo","4342"
"Silvanópolis","5403"
"Xambioá","11540"
"Ariquemes","107863"
"Jaru","51775"
"Campo Novo de Rondônia","14139"
"Governador Jorge Teixeira","7767"
"Theobroma","10444"
"Capixaba","11733"
"Cruzeiro do Sul","88376"
"Mâncio Lima","18977"
"Xapuri","19323"
"Atalaia do Norte","19921"
"Barreirinha","32041"
"Boa Vista do Ramos","19207"
"Caapiranga","13081"
"Careiro",
"Codajás","28637"
"Iranduba",
"Itacoatiara","101337"
"Maués","63905"
"Pauini","19426"
"Rorainópolis","30163"
"Uiramutã","10559"
"Abaetetuba","157698"
"Abel Figueiredo","7434"
"Chaves","23717"
"Concórdia do Pará","33318"
"Curionópolis","17929"
"Eldorado do Carajás","33808"
"Faro","7194"
"Igarapé-Açu","38807"
"Mãe do Rio","30077"
"Magalhães Barata","8548"
"Marabá","279349"
